candidate,kind,cv_rmse,tail_rmse_top_10pct,tail_rmse_top_5pct,tail_rmse_top_1pct,tail_bias_top_10pct,tail_bias_top_5pct,tail_bias_top_1pct,pred_p99_minus_train_p99,pred_max_over_train_q993,pred_max_over_train_q997,n_pred_above_train_q993,n_pred_above_train_q997,test_pred_min,test_pred_mean,test_pred_median,test_pred_std,test_pred_p95,test_pred_p99,test_pred_max,test_pred_max_over_train_q993,test_pred_max_over_train_q997,test_pred_tail_excess_sum_q993,test_pred_tail_excess_sum_q997,test_pred_n_above_q990,test_pred_n_above_q993,test_pred_n_above_q995,test_pred_n_above_q997,weights
te_weighted_blend,blend,0.10652681501313734,0.11197416185671943,0.13322764667942386,0.17070333197166143,-0.04575831565228037,-0.07734381392744022,-0.13685244191244858,-3452.5944376688567,1.2775613635084184,1.0550011204273688,7,1,45381.57907611005,178631.9219395189,156671.22251209518,78742.43673026783,334019.33629924664,450159.69822258817,747299.375402168,1.5788843331614981,1.3038314934135244,569938.5905361669,174142.96740217053,16,11,2,1,te_elastic_net:0.3051; te_ridge:0.0000; te_svr:0.3500; te_xgboost:0.2864; te_catboost:0.0586
te_conservative_blend,blend,0.10675731498121786,0.11264780704516685,0.13442452013949507,0.17326554631333077,-0.04575558014834865,-0.07809660502395575,-0.13859946654324679,-3400.0898073201533,1.2664338590151725,1.045812106072946,7,1,45228.258035981395,178772.75917848427,156721.33289256308,79035.48709202567,334392.04585251637,452910.174225898,735387.9031635438,1.5537179306172288,1.2830492565365281,588836.8214953316,164892.65908594546,17,12,3,2,te_elastic_net:0.2525; te_ridge:0.1000; te_svr:0.2750; te_xgboost:0.2432; te_catboost:0.1293
te_simple_blend,blend,0.10710829246879541,0.11342245614544622,0.13571208186507563,0.17591160605524123,-0.045752844644418304,-0.07884939612047284,-0.14034649117404568,-3667.2082795826136,1.2554032744468815,1.0367031275057186,7,1,45075.45497746208,178915.76313720836,156822.58728805726,79337.81314822347,334765.377573073,455117.6777312085,723666.2918905483,1.5289526638345798,1.2625982747287918,611791.6071591582,155959.2408472083,18,12,3,2,te_elastic_net:0.2000; te_ridge:0.2000; te_svr:0.2000; te_xgboost:0.2000; te_catboost:0.2000
te_svr,single_model,0.11019420416016494,0.10986988915055337,0.12968452791832297,0.17077093481860553,-0.043256869276081876,-0.0715363519101286,-0.13056333008017174,1029.8434296016349,1.3796542149637585,1.1393086736686648,6,1,48676.34950907655,177122.09149935958,158366.43194736756,75521.97231498708,325260.187428877,411457.6619330238,827076.102486415,1.7474355573297669,1.4430198998776937,459725.0334546248,253919.69448641746,11,4,2,1,
te_elastic_net,single_model,0.11074175921858992,0.11534035409330627,0.13864783806900072,0.18239609112331073,-0.050394866693975054,-0.08637932983053453,-0.1493105082917045,-13710.85689253494,1.2774408485111939,1.0549015999967017,7,2,39510.19373409633,181553.63724492918,156483.50886692162,87855.23022800112,354817.37210900005,478089.74840091274,985402.7916392989,2.0819461126079504,1.7192563458861359,1452083.458004924,525263.2106679977,23,17,8,3,
te_ridge,single_model,0.11182706758218254,0.11317587174377826,0.13516210257832678,0.16940094473497228,-0.04539999230778371,-0.08068507125639154,-0.13818156037605125,-7127.54427742929,1.3275896285232451,1.0963141071466418,6,2,44653.164887664396,180815.2062027032,157183.61466925294,85489.7940932993,347102.6665959243,470256.75723206875,922071.8792243502,1.9481413902863594,1.6087613544126236,1209248.590773233,439726.21652426093,23,14,7,3,
te_catboost,single_model,0.11285512254181602,0.12716790326329475,0.15301363118492173,0.21231487949394962,-0.0458565634438412,-0.08172689913008671,-0.1564101676474922,-3437.952316700539,1.2549038432224005,1.0362907007398083,4,1,42685.57370811431,177729.77616432484,156888.4814090019,74967.99639889692,326984.9291425953,451369.69042496703,544262.3819797969,1.1499104325821268,0.9495878862786775,219815.89483710343,0.0,17,6,2,0,
te_xgboost,single_model,0.11307010616515038,0.12313415746277383,0.14229201898221214,0.17120081550605623,-0.04385593150041371,-0.07391932847522711,-0.12726688947481507,-6444.264740017243,1.2244494190799542,1.0111416531010962,8,1,41168.70520914895,178048.6606422896,157360.2265754297,75829.24267056854,330158.74962429196,464073.02611676644,563519.1283539729,1.190595834120819,0.9831856025484328,290934.49139490706,0.0,20,7,3,0,
te_kernel_ridge,single_model,0.11337980836742437,0.11267101205458611,0.13141154359490484,0.15477331945117062,-0.043039250981960056,-0.07005447807682542,-0.12132739817710754,3505.483647754416,1.312113382665497,1.0835339329911746,8,2,40674.706436300075,175122.36927790847,156694.95265008512,73060.36750266196,316804.0946330499,402921.40368907,859637.4724299102,1.816230793298475,1.4998305182167901,439610.86323849304,286481.0644299127,8,3,1,1,
te_lightgbm,single_model,0.11593854883541074,0.1267551611051331,0.14932431976363944,0.17281016505231808,-0.042127957911508015,-0.07195866301652594,-0.10484447363410503,2720.4156797308824,1.23724239250895,1.0217059999001603,11,2,48247.84703373479,178347.8791339862,156903.60651141123,77439.26012509798,334579.83707486204,482193.2505399365,566121.7156748208,1.196094546526888,0.9877264002862257,509117.75063586695,0.0,23,18,3,0,
