feature,unique_values,top_value,top_pct
Neighborhood,25,NAmes,15.41
Exterior2nd,16,VinylSd,34.52
Exterior1st,15,VinylSd,35.27
Condition1,9,Norm,86.3
SaleType,9,WD,86.78
HouseStyle,8,1Story,49.73
RoofMatl,8,CompShg,98.22
Condition2,8,Norm,98.97
BsmtFinType2,7,Unf,86.03
BsmtFinType1,7,Unf,29.45
GarageType,7,Attchd,59.59
Functional,7,Typ,93.15
Heating,6,GasA,97.81
SaleCondition,6,Normal,82.05
GarageCond,6,TA,90.82
Electrical,6,SBrkr,91.37
GarageQual,6,TA,89.79
RoofStyle,6,Gable,78.15
Foundation,6,PConc,44.32
FireplaceQu,6,nan,47.26
MiscFeature,5,nan,96.3
BsmtExposure,5,No,65.27
Fence,5,nan,80.75
BsmtQual,5,TA,44.45
BldgType,5,1Fam,83.56
LotConfig,5,Inside,72.05
MSZoning,5,RL,78.84
HeatingQC,5,Ex,50.75
ExterCond,5,TA,87.81
BsmtCond,5,TA,89.79
ExterQual,4,TA,62.05
LandContour,4,Lvl,89.79
LotShape,4,Reg,63.36
MasVnrType,4,nan,59.73
KitchenQual,4,TA,50.34
PoolQC,4,nan,99.52
GarageFinish,4,Unf,41.44
Alley,3,nan,93.77
LandSlope,3,Gtl,94.66
PavedDrive,3,Y,91.78
Street,2,Pave,99.59
Utilities,2,AllPub,99.93
CentralAir,2,Y,93.49
