Neighborhood,count,mean,median,min,max
NridgHt,77,316270.62,315000.0,154000,611657
NoRidge,41,335295.32,301500.0,190000,755000
StoneBr,25,310499.0,278000.0,170000,556581
Timber,38,242247.45,228475.0,137500,378500
Somerst,86,225379.84,225500.0,144152,423000
Veenker,11,238772.73,218000.0,162500,385000
Crawfor,51,210624.73,200624.0,90350,392500
ClearCr,28,212565.43,200250.0,130000,328000
CollgCr,150,197965.77,197200.0,110000,424870
Blmngtn,17,194870.88,191000.0,159895,264561
NWAmes,73,189050.07,182900.0,82500,299800
Gilbert,79,192854.51,181000.0,141000,377500
SawyerW,59,186555.8,179900.0,76000,320000
Mitchel,49,156270.12,153500.0,84500,271000
NPkVill,9,142694.44,146000.0,127500,155000
NAmes,225,145847.08,140000.0,87500,345000
SWISU,25,142591.36,139500.0,60000,200000
Blueste,2,137500.0,137500.0,124000,151000
Sawyer,74,136793.14,135000.0,62383,190000
BrkSide,58,124834.05,124300.0,39300,223500
Edwards,100,128219.7,121750.0,58500,320000
OldTown,113,128225.3,119000.0,37900,475000
BrDale,16,104493.75,106000.0,83000,125000
IDOTRR,37,100123.78,103000.0,34900,169500
MeadowV,17,98576.47,88000.0,75000,151400
