feature,corr_with_saleprice
OverallQual,0.791
GrLivArea,0.7086
GarageCars,0.6404
GarageArea,0.6234
TotalBsmtSF,0.6136
1stFlrSF,0.6059
FullBath,0.5607
TotRmsAbvGrd,0.5337
YearBuilt,0.5229
YearRemodAdd,0.5071
GarageYrBlt,0.4864
MasVnrArea,0.4775
Fireplaces,0.4669
BsmtFinSF1,0.3864
LotFrontage,0.3518
WoodDeckSF,0.3244
2ndFlrSF,0.3193
OpenPorchSF,0.3159
HalfBath,0.2841
LotArea,0.2638
BsmtFullBath,0.2271
BsmtUnfSF,0.2145
BedroomAbvGr,0.1682
KitchenAbvGr,-0.1359
EnclosedPorch,-0.1286
ScreenPorch,0.1114
PoolArea,0.0924
MSSubClass,-0.0843
OverallCond,-0.0779
MoSold,0.0464
3SsnPorch,0.0446
YrSold,-0.0289
LowQualFinSF,-0.0256
Id,-0.0219
MiscVal,-0.0212
BsmtHalfBath,-0.0168
BsmtFinSF2,-0.0114
