feature,skewness
MiscVal,24.4516
PoolArea,14.8131
LotArea,12.1951
3SsnPorch,10.2938
LowQualFinSF,9.0021
KitchenAbvGr,4.4838
BsmtFinSF2,4.2509
ScreenPorch,4.118
BsmtHalfBath,4.0992
EnclosedPorch,3.0867
MasVnrArea,2.6663
OpenPorchSF,2.3619
LotFrontage,2.1609
BsmtFinSF1,1.6838
WoodDeckSF,1.5398
TotalBsmtSF,1.5227
MSSubClass,1.4062
1stFlrSF,1.3753
GrLivArea,1.3652
BsmtUnfSF,0.9193
2ndFlrSF,0.8122
OverallCond,0.6924
TotRmsAbvGrd,0.6756
HalfBath,0.6752
Fireplaces,0.6489
BsmtFullBath,0.5955
OverallQual,0.2167
MoSold,0.2118
BedroomAbvGr,0.2116
GarageArea,0.1798
YrSold,0.0962
FullBath,0.0365
Id,0.0
GarageCars,-0.3422
YearRemodAdd,-0.503
YearBuilt,-0.6128
GarageYrBlt,-0.6487
