Id,SalePrice,GrLivArea,LotArea,OverallQual,TotalBsmtSF,GarageCars,Neighborhood,YearBuilt
692,755000,4316,21535,10,2444,3,NoRidge,1994
1183,745000,4476,15623,10,2396,3,NoRidge,1996
1170,625000,3627,35760,10,1930,3,NoRidge,1995
899,611657,2364,12919,9,2330,3,NridgHt,2009
804,582933,2822,13891,9,1734,3,NridgHt,2008
1047,556581,2868,16056,9,1992,3,StoneBr,2005
441,555000,2402,15431,10,3094,3,NridgHt,2008
770,538000,3279,53504,8,1650,3,StoneBr,2003
314,375000,2036,215245,7,2136,2,Timber,1965
707,302000,1824,115149,7,1643,2,ClearCr,1971
452,280000,1533,70761,7,1533,2,ClearCr,1975
250,277000,2144,159000,6,1444,2,ClearCr,1958
336,228950,1786,164660,5,1499,2,Timber,1965
524,184750,4676,40094,10,3138,3,Edwards,2007
1299,160000,5642,63887,10,6110,2,Edwards,2008
1397,160000,1687,57200,5,747,2,Timber,1948
